Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
3263,8170,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,5
3263,8170,Upscale_00002_.png,Trolig ekte,5
3263,8170,generated_49.png,Usikker,5
3263,8170,s-l120016_2.png,Helt sikker ekte,7
3263,8170,Lora-test_00004_.png,Helt sikker falsk,8
3263,8170,669b85b6f3f69.png,Trolig ekte,9
3263,8170,367641-alexfas01.png,Usikker,7
3263,8170,generated_88.png,Helt sikker falsk,3
3263,8170,Upscale_00001_.png,Trolig falsk,9
3263,8170,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,6
3263,8170,generated_57.png,Trolig falsk,6
3263,8170,New-dataset_batch_00173_.png,Trolig falsk,7
3263,8170,Lora-test_00002_.png,Helt sikker falsk,7
3263,8170,Upscale_00004_.png,Usikker,10
3263,8170,New-dataset_batch_00323_.png,Helt sikker falsk,8
3263,8170,Lora-test_00001_.png,Helt sikker falsk,6
3263,8170,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,9
3263,8170,Upscale_00008_.png,Trolig falsk,7
3263,8170,Prompt-&-parameter-testing_00024_.png,Trolig falsk,11
3263,8170,Lora-test_00003_.png,Helt sikker falsk,3
3263,8170,s-l120012_1.png,Trolig ekte,4
3263,8170,generated_140.png,Helt sikker falsk,7
3263,8170,Lora-test_00005_.png,Trolig falsk,5
3264,8171,Upscale_00001_.png,Trolig ekte,17
3264,8171,generated_140.png,Helt sikker falsk,8
3264,8171,669b85b6f3f69.png,Trolig ekte,8
3264,8171,generated_57.png,Trolig falsk,3
3264,8171,s-l120012_1.png,Trolig falsk,13
3264,8171,generated_49.png,Helt sikker falsk,5
3264,8171,Lora-test_00001_.png,Helt sikker falsk,4
3264,8171,New-dataset_batch_00323_.png,Helt sikker falsk,5
3264,8171,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig falsk,5
3264,8171,Upscale_00008_.png,Usikker,7
